title,_0,author,_,publisher,isbn,readDate,_1,_2,thumnailImage,_3,_4,_5,_6
チームトポロジー,,マシュー・スケルトン/マニュエル・パイス/原田 騎郎/永瀬 美穂/吉羽 龍太郎,,日本能率協会マネジメントセンター,9784820729631,2024/04/07,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9631/9784820729631_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16928954/,2024/04/07,0,0
オッペンハイマー(上),,カイ・バード/マーティン・J．シャーウィン,,PHP研究所,9784569692920,2024/04/04,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5696/56969292.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/10528571/,2024/04/04,0,0
おいしいから売れるのではない売れているのがおいしい料理だ,,正垣泰彦,,日経BP,9784822233488,2024/03/31,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3488/9784822233488.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/11231380/,2024/03/31,0,0
あした、裸足でこい。4,,岬　鷺宮/Hiten,,KADOKAWA,9784049153491,2024/03/16,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3491/9784049153491_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17678602/,2024/03/16,0,0
世界一流エンジニアの思考法,,牛尾 剛,,文藝春秋,9784163917689,2024/03/11,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7689/9784163917689_1_5.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17649922/,2024/03/11,0,0
古代文字の解読,,高津 春繁/関根 正雄/永井 正勝,,講談社,9784065348253,2024/03/10,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8253/9784065348253_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17755803/,2024/03/10,0,0
｢逆張り｣の研究,,綿野 恵太,,筑摩書房,9784480823830,2024/03/03,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3830/9784480823830_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17511478/,2024/03/03,0,0
異体字の世界 最新版,,小池 和夫,,河出書房新社,9784309412443,2024/02/25,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2443/9784309412443_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/12432830/,2024/02/25,0,0
ユリイカ(12 2023(第55巻第17),,,,青土社,9784791704415,2024/02/24,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4415/9784791704415_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17705298/,2024/02/24,0,0
自発的隷従論,,エティエンヌ・ド・ラ・ボエシ/山上浩嗣,,筑摩書房,9784480094254,2024/02/24,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4254/9784480094254.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/12556351/,2024/02/24,1,0
世界システム論講義,,川北 稔,,筑摩書房,9784480097187,2024/02/24,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7187/9784480097187.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/13523278/,2024/02/24,1,0
経済評論家の父から息子への手紙,,山崎 元,,Gakken,9784054069756,2024/02/23,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9756/9784054069756_1_5.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17734099/,2024/02/23,0,0
限界分譲地,,吉川祐介,,朝日新聞出版,9784022952523,2024/02/12,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2523/9784022952523_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17727864/,2024/02/12,0,0
GitLabに学ぶ 世界最先端のリモート組織のつくりかた ドキュメントの活用でオフィスなしでも最大の成果を出すグローバル企業のしくみ,,千田 和央/伊藤 俊廷/佐々木 直晴,,翔泳社,9784798179421,2024/01/29,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9421/9784798179421_1_133.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17569477/,2024/01/29,0,0
暇と退屈の倫理学,,國分 功一郎,,新潮社,9784101035413,2024/01/24,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5413/9784101035413_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16973557/,2024/01/24,0,0
失敗の科学 失敗から学習する組織、学習できない組織,,マシュー・サイド,,ディスカヴァー・トゥエンティワン,9784799320235,2023/12/28,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0235/9784799320235_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/14592687/,2023/12/28,0,0
りあクト！ TypeScriptで始めるつらくないReact開発 第4版【③ React応用編】,,くるみ割り書房 ft. React,,https://oukayuka.booth.pm/items/2367992,,2023/12/18,,,https://booth.pximg.net/a6bb6149-3c80-4a32-af82-d43ef5505047/i/2367992/3f526908-04c9-4594-831d-d6d875b57a32.png,,2023/12/18,0,0
りあクト！ TypeScriptで始めるつらくないReact開発 第4版【② React基礎編】,,くるみ割り書房 ft. React,,https://oukayuka.booth.pm/items/2368019,,2023/12/13,,,https://booth.pximg.net/a6bb6149-3c80-4a32-af82-d43ef5505047/i/2368019/c9f43e45-c909-4424-a625-c8c4e9b25130.png,,2023/12/13,0,0
